X,Y,id,@id,addr:city,addr:street,denotation,genus,leaf_cycle,leaf_type,natural,species,species:es,@timestamp,@version,@changeset,@user,@uid,name,tourism,species:mp,wikidata,wikipedia,description,addr:housenumber,ele,species:wikidata,species:wikipedia,website,species:ma,crown_type,circumference,diameter_crown,height,height_trunk,addr:city_2,species:en,addr:city_1,species:es1
-73.2549249,-39.8102085,node/5589575006,node/5589575006,Valdivia,Los Alerces,street,Eriobotrya,evergreen,broadleaved,tree,Eriobotrya japonica,Nispero,2018/06/14 18:48:15+00,2,59855694,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2549051,-39.8101727,node/5589575007,node/5589575007,Valdivia,Los Alerces,street,Eucryphia,evergreen,broadleaved,tree,Eucryphia cordifolia,Ulmo,2018/05/01 03:01:04+00,1,58573384,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2548666,-39.8100812,node/5589575008,node/5589575008,Valdivia,Los Alerces,street,Cordyline,evergreen,broadleaved,tree,Cordyline australis,Dracena,2018/06/14 18:48:15+00,2,59855694,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2548432,-39.8100453,node/5589575009,node/5589575009,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2018/06/14 18:48:15+00,2,59855694,Awo,196556,,,Lahuán,,,,,,,,,,,,,,,,,,
-73.2548526,-39.8099018,node/5589575011,node/5589575011,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 03:01:05+00,1,58573384,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2548747,-39.8099422,node/5589575012,node/5589575012,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 03:01:05+00,1,58573384,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.254549,-39.8097861,node/5589580119,node/5589580119,Valdivia,Los Alerces,garden,Araucaria,evergreen,needleleaved,tree,Araucaria araucana,Araucaria,2018/06/14 21:38:25+00,2,59860267,Awo,196556,,,Pehuén,,,,,,,,,,,,,,,,,,
-73.2544517,-39.8096244,node/5589580120,node/5589580120,Valdivia,Los Alerces,garden,Prunus,evergreen,broadleaved,tree,Prunus cerasifera,Ciruelo Rojo,2018/05/01 04:38:45+00,2,58574413,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2547954,-39.8098175,node/5589580222,node/5589580222,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2019/04/24 18:21:21+00,3,69536888,gonzalo muñoz lillo,882871,,,Lawal,,,,,,,,,,,,,,,,,,
-73.2546272,-39.8097574,node/5589580223,node/5589580223,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2018/06/14 21:38:26+00,2,59860267,Awo,196556,,,Lahuán,,,,,,,,,,,,,,,,,,
-73.2545945,-39.8097099,node/5589580224,node/5589580224,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2018/11/24 02:35:25+00,3,64835863,Awo,196556,,,Lahuán,,,,,,,,,,,,,,,,,,
-73.2546982,-39.8098587,node/5589617005,node/5589617005,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 03:47:31+00,1,58573895,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2546549,-39.8098723,node/5589617006,node/5589617006,Valdivia,Los Alerces,garden,,evergreen,broadleaved,tree,,,2018/05/01 03:47:31+00,1,58573895,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2541446,-39.8092245,node/5589619870,node/5589619870,Valdivia,Los Alerces,garden,,evergreen,broadleaved,tree,,,2018/05/01 03:52:06+00,1,58573947,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2543028,-39.8091387,node/5589619871,node/5589619871,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2018/11/24 02:35:26+00,4,64835863,Awo,196556,,,Lahuán,,,,,,,,,,,,,,,,,,
-73.254227,-39.8091929,node/5589652392,node/5589652392,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2018/06/14 22:24:27+00,2,59860944,Awo,196556,,,Lahuán,,,,,,,,,,,,,,,,,,
-73.2542399,-39.8092311,node/5589652393,node/5589652393,Valdivia,Los Alerces,street,Maytenus,evergreen,broadleaved,tree,Maytenus boaria,Maitén,2018/05/01 04:28:05+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2542574,-39.8092517,node/5589652394,node/5589652394,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 04:28:05+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2542713,-39.8092685,node/5589652395,node/5589652395,Valdivia,Los Alerces,street,Maytenus,evergreen,broadleaved,tree,Maytenus boaria,Maitén,2018/05/01 04:28:05+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2542829,-39.8092878,node/5589652396,node/5589652396,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 04:28:05+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2542952,-39.8093062,node/5589652403,node/5589652403,Valdivia,Los Alerces,street,Maytenus,evergreen,broadleaved,tree,Maytenus boaria,Maitén,2018/05/01 04:28:06+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2543063,-39.8093242,node/5589652404,node/5589652404,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 04:28:06+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2543842,-39.8094195,node/5589652405,node/5589652405,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 04:28:06+00,1,58574320,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2543714,-39.8095189,node/5589652406,node/5589652406,Valdivia,Los Alerces,garden,Araucaria,evergreen,needleleaved,tree,Araucaria araucana,Araucaria,2018/05/01 04:36:37+00,2,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2545112,-39.8096192,node/5589663349,node/5589663349,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 04:38:45+00,1,58574413,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2544883,-39.8093945,node/5589663421,node/5589663421,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 04:36:36+00,1,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2545227,-39.8094496,node/5589663422,node/5589663422,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 04:36:36+00,1,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2544993,-39.8094256,node/5589663423,node/5589663423,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 04:36:36+00,1,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2544271,-39.8095008,node/5589663424,node/5589663424,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 04:36:36+00,1,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2544449,-39.809541,node/5589663425,node/5589663425,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 04:36:37+00,1,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.254611,-39.8095782,node/5589663426,node/5589663426,Valdivia,Los Alerces,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 04:36:37+00,1,58574389,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2544449,-39.809582,node/5589663427,node/5589663427,Valdivia,Los Alerces,garden,Gevuina,evergreen,broadleaved,tree,Gevuina avellana,Avellano,2018/06/28 21:23:38+00,2,60261035,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2546546,-39.8096379,node/5589829896,node/5589829896,Valdivia,Los Alerces,street,Fitzroya,evergreen,needleleaved,tree,Fitzroya cupressoides,Alerce,2018/11/24 02:35:26+00,3,64835863,Awo,196556,,,Lahuán,,,,,,,,,,,,,,,,,,
-73.25463,-39.8096033,node/5589829897,node/5589829897,Valdivia,Los Alerces,street,,evergreen,needleleaved,tree,,,2018/05/01 07:34:33+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2572274,-39.8093857,node/5589829898,node/5589829898,Valdivia,Los Lingues,avenue,Prunus,evergreen,broadleaved,tree,Prunus cerasifera,Ciruelo Rojo,2018/05/01 07:34:33+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2573898,-39.8096075,node/5589829899,node/5589829899,Valdivia,Los Lingues,avenue,Prunus,evergreen,broadleaved,tree,Prunus cerasifera,Ciruelo Rojo,2018/05/01 07:34:33+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2573496,-39.8096545,node/5589829900,node/5589829900,Valdivia,Los Lingues,avenue,Nothofagus,evergreen,broadleaved,tree,Nothofagus dombeyi,Coihue,2018/05/01 07:34:34+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.257435,-39.8096281,node/5589829901,node/5589829901,Valdivia,Los Lingues,avenue,,,broadleaved,tree,,,2018/05/01 07:34:34+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2574048,-39.8095522,node/5589829902,node/5589829902,Valdivia,Los Lingues,avenue,,,,tree,,,2018/05/01 07:34:34+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2576727,-39.809549,node/5589829904,node/5589829904,Valdivia,Los Lingues,,Salix,,broadleaved,tree,,,2018/05/01 07:34:34+00,1,58576963,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2570591,-39.8093728,node/5589845116,node/5589845116,Valdivia,Los Lingues,street,Betula,deciduous,broadleaved,tree,Betula pendula,Abedul,2018/05/01 07:50:17+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2570022,-39.80927,node/5589845117,node/5589845117,Valdivia,Los Lingues,street,Betula,deciduous,broadleaved,tree,Betula pendula,Abedul,2018/05/01 07:50:18+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2569838,-39.809241,node/5589845118,node/5589845118,Valdivia,Los Lingues,street,Betula,deciduous,broadleaved,tree,Betula pendula,Abedul,2018/05/01 07:50:18+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.256962,-39.8090462,node/5589845119,node/5589845119,Valdivia,Los Lingues,avenue,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 07:50:18+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2569104,-39.8091385,node/5589845120,node/5589845120,Valdivia,Los Lingues,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 07:50:18+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2569241,-39.8091565,node/5589846721,node/5589846721,Valdivia,Los Lingues,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 07:50:18+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2569183,-39.8091476,node/5589846722,node/5589846722,Valdivia,Los Lingues,avenue,Nothofagus,evergreen,broadleaved,tree,Nothofagus dombeyi,Coihue,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2570335,-39.8089686,node/5589846723,node/5589846723,Valdivia,Los Lingues,avenue,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.256589,-39.8087718,node/5589846724,node/5589846724,Valdivia,Los Lingues,street,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2566621,-39.8086325,node/5589846725,node/5589846725,Valdivia,Los Lingues,,,,,tree,,,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2567659,-39.8087411,node/5589846726,node/5589846726,Valdivia,Los Lingues,,,,,tree,,,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2564133,-39.8085883,node/5589846727,node/5589846727,,,,,,needleleaved,tree,,,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2568118,-39.8084995,node/5589846728,node/5589846728,Valdivia,Los Lingues,avenue,Prunus,evergreen,broadleaved,tree,Prunus cerasifera,Ciruelo Rojo,2018/05/01 07:50:19+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2568586,-39.8084615,node/5589846729,node/5589846729,Valdivia,Los Lingues,avenue,Prunus,evergreen,broadleaved,tree,Prunus cerasifera,Ciruelo Rojo,2018/05/01 07:50:20+00,1,58577265,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2547509,-39.8194682,node/5591054144,node/5591054144,Valdivia,Los Manzanos,street,,evergreen,broadleaved,tree,,,2018/05/01 20:39:46+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2547885,-39.8194557,node/5591054145,node/5591054145,Valdivia,Los Manzanos,street,,,,tree,,,2018/05/01 20:39:46+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2550376,-39.8194511,node/5591054150,node/5591054150,Valdivia,Los Manzanos,street,,,,tree,,,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2548079,-39.8196244,node/5591054151,node/5591054151,Valdivia,Los Ciruelos,,,,broadleaved,tree,,,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2549014,-39.8195682,node/5591054152,node/5591054152,Valdivia,Los Ciruelos,,,,broadleaved,tree,,,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2549278,-39.8195947,node/5591054153,node/5591054153,Valdivia,Los Ciruelos,,,,broadleaved,tree,,,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2548788,-39.819698,node/5591054154,node/5591054154,Valdivia,Los Ciruelos,,,,broadleaved,tree,,,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2548961,-39.8197152,node/5591054155,node/5591054155,Valdivia,Los Ciruelos,,,,broadleaved,tree,,,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2551173,-39.819766,node/5591054156,node/5591054156,Valdivia,Los Ciruelos,street,Betula,deciduous,broadleaved,tree,Betula pendula,Abedul,2018/05/01 20:39:47+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.255087,-39.8197411,node/5591054157,node/5591054157,Valdivia,Los Ciruelos,street,,,broadleaved,tree,,,2018/05/20 18:46:51+00,2,59130322,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2598236,-39.8145964,node/5591054158,node/5591054158,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/19 01:24:44+00,2,59093854,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2597575,-39.8143561,node/5591054164,node/5591054164,Valdivia,Los Lingues,street,,evergreen,needleleaved,tree,,,2018/05/01 20:39:48+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2597086,-39.8144756,node/5591054165,node/5591054165,Valdivia,Los Pelúes,garden,Betula,deciduous,broadleaved,tree,Betula pendula,Abedul,2018/05/19 03:43:14+00,2,59094718,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2594262,-39.8147386,node/5591054166,node/5591054166,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/01 20:39:48+00,1,58596015,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2597718,-39.8155817,node/5591054167,node/5591054167,Valdivia,Pasaje 1,garden,Chamaecyparis,evergreen,needleleaved,tree,Chamaecyparis sp,Ciprés,2018/05/19 03:43:14+00,2,59094718,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2596603,-39.8154075,node/5591054169,node/5591054169,Valdivia,Pasaje 1,garden,Araucaria,evergreen,needleleaved,tree,Araucaria araucana,Araucaria,2018/05/19 03:28:13+00,2,59094631,Awo,196556,,,Pehuén,,,,,,,,,,,,,,,,,,
-73.2589878,-39.8146995,node/5591069117,node/5591069117,Valdivia,Los Pelúes,garden,Pseudotsuga,evergreen,needleleaved,tree,Pseudotsuga menziesii,Pino Oregón,2018/05/01 20:51:46+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2589453,-39.8146597,node/5591069118,node/5591069118,Valdivia,Los Pelúes,garden,Pseudotsuga,evergreen,needleleaved,tree,Pseudotsuga menziesii,Pino Oregón,2018/05/01 20:51:46+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2589374,-39.814913,node/5591070023,node/5591070023,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/19 01:59:10+00,2,59094033,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2588768,-39.8149346,node/5591070024,node/5591070024,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/19 01:59:10+00,2,59094033,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2583881,-39.8149426,node/5591070025,node/5591070025,Valdivia,Los Pelúes,garden,Embothrium,deciduous,broadleaved,tree,Embothrium coccineum,Notro,2018/06/29 21:28:43+00,3,60290098,Awo,196556,,,Notru,,,,,,,,,,,,,,,,,,
-73.2588015,-39.8149621,node/5591070026,node/5591070026,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/01 20:51:47+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2587182,-39.8149877,node/5591070027,node/5591070027,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/01 20:51:47+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2585781,-39.815028,node/5591070028,node/5591070028,Valdivia,Los Pelúes,street,Luma,evergreen,broadleaved,tree,Luma apiculata,Arrayán,2018/05/19 03:08:40+00,2,59094489,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2587151,-39.8148683,node/5591070029,node/5591070029,Valdivia,Los Pelúes,garden,Pseudotsuga,evergreen,needleleaved,tree,Pseudotsuga menziesii,Pino Oregón,2018/05/01 21:09:54+00,2,58596645,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2585257,-39.8150555,node/5591070030,node/5591070030,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/01 20:51:47+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2584516,-39.8150806,node/5591070031,node/5591070031,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/01 20:51:47+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2584911,-39.8150673,node/5591070032,node/5591070032,Valdivia,Los Pelúes,street,Sophora,evergreen,broadleaved,tree,Sophora cassioides,Pelú,2018/05/01 20:51:47+00,1,58596257,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2585892,-39.8149175,node/5591092636,node/5591092636,Valdivia,Los Pelúes,street,Nothofagus,deciduous,broadleaved,tree,Nothofagus obliqua,Roble,2018/05/01 21:09:54+00,1,58596645,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.258667,-39.8148948,node/5591092920,node/5591092920,Valdivia,Los Pelúes,street,Nothofagus,deciduous,broadleaved,tree,Nothofagus obliqua,Roble,2018/05/01 21:10:16+00,1,58596657,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2583634,-39.8151119,node/5591106463,node/5591106463,Valdivia,Los Pelúes,street,Nothofagus,deciduous,broadleaved,tree,Nothofagus obliqua,Roble,2018/05/19 02:40:00+00,2,59094299,Awo,196556,,,Coyán,,,,,,,,,,,,,,,,,,
-73.258401,-39.8150995,node/5591106464,node/5591106464,Valdivia,Los Pelúes,street,Nothofagus,deciduous,broadleaved,tree,Nothofagus obliqua,Roble,2018/05/01 21:24:56+00,1,58596947,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2580388,-39.8150877,node/5591114278,node/5591114278,Valdivia,Los Pelúes,street,Nothofagus,deciduous,broadleaved,tree,Nothofagus obliqua,Roble,2018/05/01 21:34:00+00,1,58597107,Awo,196556,,,,,,,,,,,,,,,,,,,,,
